,like,reply,retweet,time,username,clean,prediction
456,0,1,0,2023-07-08 14:42:23,@nanasyyxx,enggak,0
457,0,1,0,2023-07-08 14:42:23,@nanasyyxx,sarap,0
458,0,1,0,2023-07-08 14:42:23,@nanasyyxx,nasi,0
459,0,1,0,2023-07-08 14:42:23,@nanasyyxx,makan,0
460,0,1,0,2023-07-08 14:42:23,@nanasyyxx,siang,0
461,0,1,0,2023-07-08 14:42:23,@nanasyyxx,enggak,0
462,0,1,0,2023-07-08 14:42:23,@nanasyyxx,mood,0
464,0,1,0,2023-07-08 14:42:23,@nanasyyxx,hari,0
465,0,1,0,2023-07-08 14:42:23,@nanasyyxx,period,0
466,0,1,0,2023-07-08 14:42:23,@nanasyyxx,ngopi,0
467,0,1,0,2023-07-08 14:42:23,@nanasyyxx,botol,0
469,0,1,0,2023-07-08 14:42:23,@nanasyyxx,prj,0
470,0,1,0,2023-07-08 14:42:23,@nanasyyxx,enggak,0
471,0,1,0,2023-07-08 14:42:23,@nanasyyxx,makan,0
472,0,1,0,2023-07-08 14:42:23,@nanasyyxx,malam,0
474,0,1,0,2023-07-08 14:42:23,@nanasyyxx,hectic,0
475,0,1,0,2023-07-08 14:42:23,@nanasyyxx,habis,0
477,0,1,0,2023-07-08 14:42:23,@nanasyyxx,prj,0
478,0,1,0,2023-07-08 14:42:23,@nanasyyxx,tidur,0
479,0,1,0,2023-07-08 14:42:23,@nanasyyxx,pagi,0
480,0,1,0,2023-07-08 14:42:23,@nanasyyxx,jam,0
481,0,1,0,2023-07-08 14:42:23,@nanasyyxx,mual,0
482,0,1,0,2023-07-08 14:42:06,@jwkiten,bayang,1
485,0,1,0,2023-07-08 14:42:06,@jwkiten,prj,1
486,0,1,0,2023-07-08 14:42:06,@jwkiten,eh,1
487,0,1,0,2023-07-08 14:42:06,@jwkiten,bahkan,1
489,0,1,0,2023-07-08 14:42:06,@jwkiten,redaksi,1
490,0,1,0,2023-07-08 14:42:06,@jwkiten,hari,1
491,2,1,0,2023-07-08 14:39:11,@chitattoo_,siapa,0
494,2,1,0,2023-07-08 14:39:11,@chitattoo_,prj,0
495,2,1,0,2023-07-08 14:39:11,@chitattoo_,hari,0
499,0,0,0,2023-07-08 14:29:09,@ruangjimin,ragunan,0
500,0,0,0,2023-07-08 14:29:09,@ruangjimin,yuk,0
502,0,0,0,2023-07-08 14:29:09,@ruangjimin,monas,0
505,0,0,0,2023-07-08 14:29:09,@ruangjimin,prj,0
507,0,0,0,2023-07-08 14:29:09,@ruangjimin,yuk,0
508,0,0,0,2023-07-08 14:29:09,@ruangjimin,eh,0
509,0,0,0,2023-07-08 14:29:09,@ruangjimin,jangan,0
511,0,0,0,2023-07-08 14:29:09,@ruangjimin,tempat,0
512,0,0,0,2023-07-08 14:29:09,@ruangjimin,setan,0
513,0,0,0,2023-07-08 14:29:09,@ruangjimin,setan,0
515,0,0,0,2023-07-08 14:29:09,@ruangjimin,yuk,0
516,0,0,0,2023-07-08 14:29:09,@ruangjimin,kota,0
517,0,0,0,2023-07-08 14:29:09,@ruangjimin,tua,0
518,0,0,0,2023-07-08 14:29:09,@ruangjimin,ai,0
519,0,0,0,2023-07-08 14:29:09,@ruangjimin,h,0
520,0,0,0,2023-07-08 14:29:09,@ruangjimin,keluarga,0
522,0,0,0,2023-07-08 14:29:09,@ruangjimin,memang,0
523,0,0,0,2023-07-08 14:29:09,@ruangjimin,banyak,0
524,0,0,0,2023-07-08 14:29:09,@ruangjimin,wancana,0
525,0,0,0,2023-07-08 14:29:09,@ruangjimin,nya,0
527,0,0,0,2023-07-08 14:27:37,@kharismadilaa,open,1
528,0,0,0,2023-07-08 14:27:37,@kharismadilaa,jastip,1
529,0,0,0,2023-07-08 14:27:37,@kharismadilaa,prj,1
530,0,0,0,2023-07-08 14:27:37,@kharismadilaa,terus,1
531,0,0,0,2023-07-08 14:27:37,@kharismadilaa,kirim,1
