username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@riev13,"sepanjang menteng-sarinah-monas-mang bes-jemb 5-kotu udah banyak muda/mudi yg motoran + besekan ciki/teh botolan

hari ini ternyata pembukaan PRJ, oke!!!
dan udah menetapkan akhir bulan kayaknya otw",in,1,,,172,2023-06-15T16:55:10.000Z,/riev13/status/1669388088919851008
@Winoko21,"Oh gitu toh PRJ 

Tapi overstimulated banget disitu, bright lights, loud speakers everywhere, so many people 

Gak kebayang klo weekend kek mana bentukannya ",in,,,,40,2023-06-15T16:54:23.000Z,/Winoko21/status/1669387889048969216
@urbbygurl_,"Hampir kena begal di PRJ, ngeriii",in,1,,,103,2023-06-15T16:52:11.000Z,/urbbygurl_/status/1669387335262437376
@seierenade,wow ternyata prj dah buka,in,,,,105,2023-06-15T16:47:28.000Z,/seierenade/status/1669386148429561857
@amandawidyaa,"tgl 15 buldep pokoknya wajib ke prj, ku mau nnton vierraaaaaaa",in,,,,33,2023-06-15T16:47:23.000Z,/amandawidyaa/status/1669386130289217536
@Andre18996,Ke prj yukk,in,1,,,44,2023-06-15T16:47:11.000Z,/Andre18996/status/1669386080238596098
@wounashel,"wkwkwk, dateng prj?",in,1,,,17,2023-06-15T16:40:59.000Z,/wounashel/status/1669384517264748546
@seaveybibbys,kgn prj,in,,,,27,2023-06-15T16:36:16.000Z,/seaveybibbys/status/1669383332600377344
@liaanette07,"grgr temen ngajakin ke prj, gue jd inget prj taun lalu",in,1,,,72,2023-06-15T16:35:26.000Z,/liaanette07/status/1669383122356670464
@salcharu,"Iya wkwkw saya sangat bersemangat krna brg RC ,ampe lupa yg prj tgl brp",in,1,,,29,2023-06-15T16:34:24.000Z,/salcharu/status/1669382862968324096
